Resistor_Name,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Value,Unit
A26Metal0Top1_1_4,0.05850000000000003,0.1380000000000001,-0.056250000000000064,0.07650000000000001,0.13799999999999996,-0.05625000000000002,387.26045018792746,Ohm
A26Metal0Top1_1_5,0.05850000000000003,0.1380000000000001,-0.056250000000000064,0.05850000000000002,0.15600000000000006,-0.05625000000000001,808.7603840127877,Ohm
A26Metal0Top1_1_6,0.05850000000000003,0.1380000000000001,-0.056250000000000064,0.07650000000000001,0.15600000000000003,-0.05625000000000003,1010.5773765897102,Ohm
A26Metal0Top1_1_7,0.05850000000000003,0.1380000000000001,-0.056250000000000064,0.058500000000000045,0.1740000000000001,-0.056249492227561704,3979.8112014751464,Ohm
A26Metal0Top1_1_8,0.05850000000000003,0.1380000000000001,-0.056250000000000064,0.07649999999999996,0.1740000000000001,-0.0562494922275617,3922.0720043528595,Ohm
A26Metal0Top1_2_3,0.058499999999999996,0.1920000000000001,-0.056249999999999994,0.07650000000000001,0.19199999999999995,-0.05625000000000002,944.3689330277494,Ohm
A26Metal0Top1_2_4,0.058499999999999996,0.1920000000000001,-0.056249999999999994,0.07650000000000001,0.13799999999999996,-0.05625000000000002,19089.183830891085,Ohm
A26Metal0Top1_2_5,0.058499999999999996,0.1920000000000001,-0.056249999999999994,0.05850000000000002,0.15600000000000006,-0.05625000000000001,7096.213792296439,Ohm
A26Metal0Top1_2_6,0.058499999999999996,0.1920000000000001,-0.056249999999999994,0.07650000000000001,0.15600000000000003,-0.05625000000000003,7152.425370129968,Ohm
A26Metal0Top1_2_7,0.058499999999999996,0.1920000000000001,-0.056249999999999994,0.058500000000000045,0.1740000000000001,-0.056249492227561704,1249.3942782280049,Ohm
A26Metal0Top1_2_8,0.058499999999999996,0.1920000000000001,-0.056249999999999994,0.07649999999999996,0.1740000000000001,-0.0562494922275617,1803.5821126696962,Ohm
A26Metal0Top1_3_4,0.07650000000000001,0.19199999999999995,-0.05625000000000002,0.07650000000000001,0.13799999999999996,-0.05625000000000002,18712.942436292622,Ohm
A26Metal0Top1_3_5,0.07650000000000001,0.19199999999999995,-0.05625000000000002,0.05850000000000002,0.15600000000000006,-0.05625000000000001,7182.673758288104,Ohm
A26Metal0Top1_3_6,0.07650000000000001,0.19199999999999995,-0.05625000000000002,0.07650000000000001,0.15600000000000003,-0.05625000000000003,6844.898427720101,Ohm
A26Metal0Top1_3_7,0.07650000000000001,0.19199999999999995,-0.05625000000000002,0.058500000000000045,0.1740000000000001,-0.056249492227561704,1829.129095736597,Ohm
A26Metal0Top1_3_8,0.07650000000000001,0.19199999999999995,-0.05625000000000002,0.07649999999999996,0.1740000000000001,-0.0562494922275617,1186.1383686183858,Ohm
A26Metal0Top1_4_5,0.07650000000000001,0.13799999999999996,-0.05625000000000002,0.05850000000000002,0.15600000000000006,-0.05625000000000001,1006.4900969269147,Ohm
A26Metal0Top1_4_6,0.07650000000000001,0.13799999999999996,-0.05625000000000002,0.07650000000000001,0.15600000000000003,-0.05625000000000003,770.0106871240434,Ohm
A26Metal0Top1_4_7,0.07650000000000001,0.13799999999999996,-0.05625000000000002,0.058500000000000045,0.1740000000000001,-0.056249492227561704,3941.682652162576,Ohm
A26Metal0Top1_4_8,0.07650000000000001,0.13799999999999996,-0.05625000000000002,0.07649999999999996,0.1740000000000001,-0.0562494922275617,3760.2651504987525,Ohm
A26Metal0Top1_5_6,0.05850000000000002,0.15600000000000006,-0.05625000000000001,0.07650000000000001,0.15600000000000003,-0.05625000000000003,563.7717376274393,Ohm
A26Metal0Top1_5_7,0.05850000000000002,0.15600000000000006,-0.05625000000000001,0.058500000000000045,0.1740000000000001,-0.056249492227561704,1002.5093557868863,Ohm
A26Metal0Top1_5_8,0.05850000000000002,0.15600000000000006,-0.05625000000000001,0.07649999999999996,0.1740000000000001,-0.0562494922275617,1323.4425449461226,Ohm
A26Metal0Top1_6_7,0.07650000000000001,0.15600000000000003,-0.05625000000000003,0.058500000000000045,0.1740000000000001,-0.056249492227561704,1336.5692770154508,Ohm
A26Metal0Top1_6_8,0.07650000000000001,0.15600000000000003,-0.05625000000000003,0.07649999999999996,0.1740000000000001,-0.0562494922275617,947.8195673308445,Ohm
A26Metal0Top1_7_8,0.058500000000000045,0.1740000000000001,-0.056249492227561704,0.07649999999999996,0.1740000000000001,-0.0562494922275617,634.3580070142806,Ohm
A26MetalInt_0_1,0.022492646387032595,0.24700000000000005,0.006250000000000001,0.0675,0.24700000000000003,0.006254255563059845,13.730370275429234,Ohm
A26MetalInt_0_2,0.022492646387032595,0.24700000000000005,0.006250000000000001,0.13499999999999998,0.24699999999999997,0.006250000000000003,18719.822409345787,Ohm
A26MetalInt_0_3,0.022492646387032595,0.24700000000000005,0.006250000000000001,0.07800002879215394,0.28400858795827044,0.00625195416781455,3.812132985008469,Ohm
A26MetalInt_1_2,0.0675,0.24700000000000003,0.006254255563059845,0.13499999999999998,0.24699999999999997,0.006250000000000003,40.41122126625258,Ohm
A26MetalInt_1_3,0.0675,0.24700000000000003,0.006254255563059845,0.07800002879215394,0.28400858795827044,0.00625195416781455,2.651827923206228,Ohm
A26MetalInt_2_3,0.13499999999999998,0.24699999999999997,0.006250000000000003,0.07800002879215394,0.28400858795827044,0.00625195416781455,3.644599627288878,Ohm
A26ViaInt0,0.0225,0.23199999999999998,0.006249999999999999,0.022492646387032595,0.24700000000000005,0.006250000000000001,2.1633509022196997,Ohm
A26ViaInt1,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.0675,0.24700000000000003,0.006254255563059845,2.209425431756279,Ohm
A26ViaInt2,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.13499999999999998,0.24699999999999997,0.006250000000000003,2.65034427111338,Ohm
AGateLine_0_1,0.04500116713352008,0.23199999999999998,-0.01873717732405462,0.04500539693886484,0.05300036133638254,-0.0562496004528839,4777.618170610568,Ohm
